,C23. Which of the following do you have access  to?:Mobile phone,C23. Which of the following do you have access  to?:Internet,C23. Which of the following do you have access  to?:Laptop or desktop or tablet,C24.2. Do you own a SIM card that you can use at any time?,C24.2a. Is the SIM card you own registered biometrically to your own National ID,C24.1. Do you personally own a mobile phone?,C25. Is your phone a smart phone or a simple mobile phone?:Smart phone,C25. Is your phone a smart phone or a simple mobile phone?:Simple phone,C25X1. Which of these things do you do when using  USSD  menus?:Get information,C25X1. Which of these things do you do when using  USSD  menus?:Send or receive,C25X1. Which of these things do you do when using  USSD  menus?:Pay for things,C25X2. Which of these things are you using  apps on your phone to do ?:Get information,C25X2. Which of these things are you using  apps on your phone to do ?:Food deliveries,C25X2. Which of these things are you using  apps on your phone to do ?:Send or receive,C25X2. Which of these things are you using  apps on your phone to do ?:Pay for things,Mobile money,Banked,Financial Access Strand,Overlaps in Financial Access
12,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
13,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
14,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
15,Yes,Yes,No,No, ,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
16,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
17,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
18,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
19,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
20,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
21,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
22,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
23,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
24,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
25,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
26,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
27,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
28,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
29,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
30,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
31,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
32,Yes,No,No,Yes,No,2, , , , , , , , , ,MM,Banked,Banked,all
33,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
34,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
35,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
36,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
37,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
38,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
39,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
40,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
41,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
42,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
43,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
44,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
45,Yes,No,No,Yes,Yes,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
46,No,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
47,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
48,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
49,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
50,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
51,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
52,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
53,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Banked,Banked,bank AND formal
54,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
55,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
56,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
57,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
58,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
59,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
60,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
61,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
62,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
64,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
65,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
66,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
67,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
68,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
71,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
72,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Banked,Banked,all
73,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
74,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
75,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
76,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
77,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
78,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
79,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
80,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
81,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
82,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
83,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
84,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
85,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Not Banked,Other formal non-bank,non-bank formal only
86,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
87,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
88,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
89,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
90,Yes,No,No,Yes,No,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
91,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
92,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
93,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
94,Yes,Yes,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
95,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,MM,Banked,Banked,all
96,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Banked,Banked,all
97,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
98,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
99,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Banked,Banked,all
100,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
101,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
103,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
104,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
105,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
106,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
107,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
108,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
109,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
110,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
111,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
112,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
113,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
114,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
115,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
116,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
117,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
118,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
119,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
120,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
121,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
122,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
123,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
124,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
125,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
126,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
127,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
128,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
129,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
130,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Banked,Banked,all
131,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Not Banked,Other formal non-bank,informal AND formal
132,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,MM,Not Banked,Other formal non-bank,non-bank formal only
133,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
134,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
135,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
136,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
137,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
138,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
139,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
140,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
141,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
142,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
143,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
144,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
145,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
146,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
147,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
148,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
149,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Banked,Banked,bank AND formal
150,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
151,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
152,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Banked,Banked,bank AND formal
153,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
154,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
155,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
156,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
157,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
158,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
159,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
160,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
161,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
162,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Banked,Banked,all
163,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
164,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
165,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
166,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
167,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
168,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
169,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
170,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
171,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
172,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
173,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
174,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
175,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
176,Yes,Yes,No,No, ,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
177,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
178,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
179,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
180,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
181,Yes,No,No,Yes,No,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
182,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
183,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
184,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
185,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
186,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Banked,Banked,all
187,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
188,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
189,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
190,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
191,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
192,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
193,Yes,No,No,Yes,Yes,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
194,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
195,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
196,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
197,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
